regions,iso3,name,year,boreal,temperate,tropical,subtropical,1a_forestArea,1a_otherWoodedLand,1a_landArea,1b_naturallyRegeneratingForest,1b_plantedForest,1b_plantationForest,1b_plantationForestIntroduced,1b_otherPlantedForest,1c_primary,1c_tempUnstocked,1c_bamboos,1c_mangroves,1c_rubber,1f_palms,1f_treeOrchards,1f_agroforestry,1f_treesUrbanSettings,1f_other,2a_gs_ha_nat_reg,2a_gs_ha_planted,2a_gs_ha_plantation,2a_gs_ha_other_planted,2a_gs_ha_forest,2a_gs_ha_owl,2a_gs_tot_nat_reg,2a_gs_tot_planted,2a_gs_tot_plantation,2a_gs_tot_other_planted,2a_gs_tot_forest,2a_gs_tot_owl,2b_native_#1,2b_native_#2,2b_native_#3,2b_native_#4,2b_native_#5,2b_native_#6,2b_native_#7,2b_native_#8,2b_native_#9,2b_native_#10,2b_native_remaining,2b_native_total,2b_introduced_#1,2b_introduced_#2,2b_introduced_#3,2b_introduced_#4,2b_introduced_#5,2b_introduced_remaining,2b_introduced_total,2b_total_gs,2c_agb,2c_bgb,2c_dwb,2d_carbon_agb,2d_carbon_bgb,2d_carbon_dw,2d_carbon_litter,2d_carbon_soil,2d_soil_depth_cm,3a_prim_prod,3a_prim_prot,3a_prim_biodiv,3a_prim_socserv,3a_prim_multi,3a_prim_other,3a_prim_no_unknown,3a_tot_prod,3a_tot_prot,3a_tot_biodiv,3a_tot_socserv,3a_tot_other,3b_protected,3b_forMngt,3b_mngtProt,4a_priv_own,4a_individ,4a_bus_inst_fo,4a_indigenous_fo,4a_pub_own,4a_fo_unknown,4b_pub_admin,4b_individuals,4b_bus_inst_mr,4b_indigenous_mr,4b_unknown,5c_y_n,6a_policies_national,6a_policies_sub_national,6a_legislation_national,6a_legislation_sub_national,6a_platform_national,6a_platform_sub_national,6a_traceability_national,6a_traceability_sub_national,6b_pfe_y_n,6b_pfe_area,7a_employment_tot,7a_employment_fem,7a_employment_male,7a_emp_forestry_tot,7a_emp_forestry_fem,7a_emp_forestry_male,7a_emp_logging_tot,7a_emp_logging_fem,7a_emp_logging_male,7a_emp_nwfp_tot,7a_emp_nwfp_fem,7a_emp_nwfp_male,7a_emp_support_tot,7a_emp_support_fem,7a_emp_support_male,7b_phd_tot,7b_phd_fem,7b_phd_male,7b_msc_tot,7b_msc_fem,7b_msc_male,7b_ba_tot,7b_ba_fem,7b_ba_male,7b_tech_tot,7b_tech_fem,7b_tech_male,7b_total_tot,7b_total_fem,7b_total_male
"UNECE, Asia",UZB,Uzbekistan,2015,0,100,0,0,3549.4,1078,42540,1393.4,2156,1598.64,15.9864,557.36,210.3,0,0,0,0,,,,,,30.07033156,15.90909091,,,21.4684172,,41.9,34.3,,,76.2,,37.45,6.25,1.28,0.75,0.11,0.09,0.04,0.02,0.02,,224.45,270.46,,,,,,,,270.46,48.18,21.44,,22.64,10.08,,,,,5.3,2214,1330.1,0,0,0,,5.3,2214,1330.1,0,0,3150,2950,62,0,0,0,0,3549.4,,3549.4,0,0,0,0,no,yes,yes,yes,yes,yes,yes,no,no,yes,3245.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UNECE, Asia",UZB,Uzbekistan,2020,0,100,0,0,3689.66,1175.02,42540,1422.98,2266.68,1458.44,14.57,808.24,210.3,0,0,0,0,,,,,,,,,,,,,,,,,,17.05,8.34,2.85,0.9,0.25,0.11,0.05,0.04,0.02,,,29.61,,,,,,,,29.61,,,,,,,,,,6,2532,1151.66,0,0,0,0,6,2532,1151.66,0,0,3540,3400,62,,,,,,,,,,,,no,yes,yes,yes,yes,yes,yes,no,no,yes,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Tropical Timber Organization, Asia, ASEAN",VNM,Viet Nam,1990,0,0,95,5,9375.96,0,31007,8630.96,745,745,,0,384,,,,220,,,,,,76.16533966,38.3,38.3,0,73.16,0,657.38,28.5335,28.5335,0,685.9452336,0,,,,,,,,,,,,,,,,,,,,,55.16,14.66,,25.93,6.89,,,,,5100,2800,600,,0,,,,,,,,600,4568.41,,13.89,13.89,0,0,5313.41,,5313.41,0,0,0,0,no,yes,yes,yes,no,yes,yes,yes,yes,yes,,80,,,,,,,,,,,,,,,0,0,0,72,14,58,96,25,71,736,256,480,904,295,609
"International Tropical Timber Organization, Asia, ASEAN",VNM,Viet Nam,2000,0,0,95,5,11784.1,0,31007,9864.53,1919.57,1919.57,,0,187,1169.55,788.71,70.21,95.8,,,,,,109.7173408,38.30024433,38.30024433,0,98.08385876,0,1082.31,73.52,73.52,0,1155.83,0,,,,,,,,,,,,,,,,,,,,,73.95,19.89,,34.76,9.35,,,,,4442.73,5614.07,1727.3,0,0,0,,,,,,,1727.38,5826.23,1337.96,2738.92,2738.92,,,6151.04,,6151.04,0,0,0,0,no,yes,yes,yes,no,yes,yes,yes,yes,yes,11784.58,198,,,,,,,,,,,,,,,5,0,5,218,40,178,706,405,301,2139,939,1200,3068,1384,1684
"International Tropical Timber Organization, Asia, ASEAN",VNM,Viet Nam,2010,0,0,95,5,13388.06,0,31007,10304.8,3083.26,3083.26,,0,80,1124.9,654.9,69.02,188.41,,,,,,95.13,32.13,32.13,0,80.62,0,980.295624,99.0651438,99.0651438,0,1079.345397,0,,,,,,,,,,,,,,,,,,,,,60.79,16.23,,28.57,7.63,,,,,6373.49,4846.19,2002.28,,0,,,,,,,,2002.28,6616.61,2002.28,3800.35,3431.56,110.53,258.27,8861.32,,8861.32,0,0,0,0,no,yes,yes,yes,no,yes,yes,yes,yes,yes,13211.96,298,,,,,,,,,,,,,,,12,0,12,1438,412,1026,2000,1190,810,1975,965,1010,5425,2567,2858
"International Tropical Timber Organization, Asia, ASEAN",VNM,Viet Nam,2015,0,0,95,5,14061.86,0,31007,10175.53,3886.33,3886.33,,0,80,852.8,373.1,57.2,448.8,,,,,,96.92959482,45.95080706,45.95,0,82.84,0,986.31,178.58,178.5768635,0,1164.884482,0,,,,,,,,,,,,,,,,,,,,,62.46,16.6,,29.36,7.8,,,,,6668.2,4462.64,2106.05,,0,,,,,,,,2106.51,6592.06,2106.51,4497.91,3145.47,241.63,1110.41,9221.5,,9221.5,0,0,0,0,no,yes,yes,yes,no,yes,yes,yes,yes,yes,13236.89,,,,,,,,,,,,,,,,30,4,26,1096,343,753,2199,1552,647,4057,1882,2175,7382,3781,3601
"International Tropical Timber Organization, Asia, ASEAN",VNM,Viet Nam,2020,0,0,95,5,14643.09,0,31007,10293.72,4349.37,4349.37,,0,80,900,240.93,57.2,500,,,,,,97.7421185,48.69,48.69,0,83.17233589,0,1006.13,211.7708253,211.7708253,0,1217.9,0,,,,,,,,,,,,,,,,,,,,,62.71,16.67,,29.47,7.83,,,,,7939.84,4588.06,2115.19,0,0,0,0,,,,,,2177.75,7009.62,2056.5,,,,,,,,,,,,no,yes,yes,yes,no,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,WLF,Wallis and Futuna Islands,1990,0,0,100,0,5.8,3.52,14,5.59,0.2,0.2,0.12,0,,,,0.09,,2.93,,,,,121,273,273,0,125.862069,,0.67639,0.0546,0.0546,0,0.73,,,,,,,,,,,,,,,,,,,,,,198.41,38.48,18.31,82.24,15.87,7.71,1.96,51.05,,0.16,5.14,0.5,0,0,0,0,,,,,,,0,,,,,,,5.8,,,,,,no,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,WLF,Wallis and Futuna Islands,2000,0,0,100,0,5.81,3.58,14,5.42,0.37,0.37,0.28,0,,,,0.04,,2.8,,,,,121,273,273,0,130.8089501,,0.65582,0.10101,0.10101,0,0.76,,,,,,,,,,,,,,,,,,,,,,196.17,38.04,17.72,81.71,15.78,7.48,1.93,51.17,,0.24,5.09,0.48,0,0,0,0,,,,,,,0,,,,,,,5.81,,,,,,no,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,WLF,Wallis and Futuna Islands,2010,0,0,100,0,5.82,3.64,14,5.25,0.54,0.54,0.45,0,,,,0.02,,2.67,,,,,121,273,273,0,134.0206186,,0.63525,0.14742,0.14742,0,0.78,,,,,,,,,,,,,,,,,,,,,,193.93,37.59,17.14,81.18,15.69,7.24,1.9,51.28,,0.32,5.06,0.44,0,0,0,0,,,,,,,0.09,,,,,,,5.82,,,,,,no,,,,,,,,,yes,0.09,0.01,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,WLF,Wallis and Futuna Islands,2015,0,0,100,0,5.83,3.67,14,5.16,0.63,0.63,0.49,0,,,,0.02,,2.6,,,,,121,273,273,0,137.2212693,,0.62436,0.17199,0.17199,0,0.8,,,,,,,,,,,,,,,,,,,,,,192.6,37.33,16.82,80.9,15.65,7.12,1.89,51.35,,0.32,5.07,0.44,0,0,0,0,,,,,,,0.09,,,,,,,5.83,,,,,,no,,,,,,,,,yes,0.09,0.01,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
